Incident Type,Location,Date Reported,Time Reported,Case #,Notes,Incident Occurred Between,Int. Ref. #,Disposition
MAINTENANCE : ROUTINE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLIN-RICE SCIENCE CENTER,1/2/2020,02:45 AM,MAC-20-0001,Condensation puddle found in Olin Rice mechanical room.,1/2/2020 02:45 AM and 1/2/2020 02:45 AM,,CLOSED
ALARMS : FIRE SYSTEM : SMOKE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : WEYERHAEUSER HALL,1/3/2020,08:25 AM,MAC-20-0003,Public safety responded to a fire alarm in an administrative building.  Tradesmen's work generated some smoke.  No fire.,1/3/2020 08:25 AM and 1/3/2020 08:40 AM,,CLOSED
ALARMS : FIRE SYSTEM : TROUBLE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 188-190 VERNON STREET (GERMAN HOUSE),1/3/2020,02:26 PM,MAC-20-0004,Smoke detector error alarm-referred to trades,1/3/2020 02:26 PM and 1/3/2020 02:26 PM,,REFERRED TO OTHER DEPARTMENT
MAINTENANCE : ROUTINE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : CULTURAL HOUSE,1/5/2020,01:25 PM,MAC-20-0007,Got a call from Brian Zou at cultural House that fridge Isn't working.,1/5/2020 01:25 PM and 1/6/2020 07:00 AM,,CLOSED
DAMAGE TO PROPERTY : ACCIDENTAL,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : GEORGE DAYTON DRAPER HALL,1/5/2020,07:30 PM,MAC-20-0008,Macalester College Public Safety responded to broken glass in the fire extinguisher case.,1/5/2020 07:30 PM and 1/5/2020 07:35 PM,,CLOSED
PROPERTY : MISSING,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,1/7/2020,07:26 AM,MAC-20-0009,Public Safety was notified of a missing chair-Clear found,1/2/2020 04:30 PM and UNKNOWN,,CLOSED
WELFARE CHECK,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : GEORGE DAYTON DRAPER HALL,1/7/2020,05:44 PM,MAC-20-0010,Macalester Public safety conducted a welfare check on Macalester College Student.,1/7/2020 05:44 PM and 1/7/2020 06:29 PM,,REFERRED TO RESIDENTIAL LIFE
ALARMS : FIRE SYSTEM : TROUBLE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : JANET WALLACE FINE ARTS CENTER,1/8/2020,10:40 AM,MAC-20-0011,Public Safety responded to a Fire Panel Trouble Alarm from an academic building.,1/8/2020 10:40 AM and 1/8/2020 10:50 AM,,REFERRED TO OTHER DEPARTMENT
SUSPICIOUS ACTIVITY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : SUMMIT HOUSE,1/8/2020,09:00 PM,MAC-20-0012,Macalester College Public Safety responded to a report of suspicious noise in residence.,1/8/2020 09:00 PM and 1/8/2020 09:30 PM,,CLOSED
SUSPICIOUS ACTIVITY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : MUSIC BUILDING,1/9/2020,06:15 AM,MAC-20-0013,Computer missing from M107 in Music-Owner verified ITS was in possession of computer.,1/9/2020 06:15 AM and 1/9/2020 06:30 AM,,CLOSED
