Incident Type,Location,Date Reported,Time Reported,Case #,Notes,Incident Occurred Between,Int. Ref. #,Disposition
DAMAGE TO PROPERTY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,12/19/2022,12:25 PM,MAC-22-1361,Public Safety received a report of damaged college property.,12/19/2022 12:25 PM and 12/19/2022 12:30 PM,,CLOSED.REFERRED TO DEPARTMENT
ASSIST : VEHICLE LOCKOUT,MACALESTER CAMPUS : PARKING : WEST 2,12/16/2022,07:55 PM,MAC-22-1353,Macalester Public Safety assist student on a vehicle lockout.,12/16/2022 07:55 PM and 12/16/2022 08:11 PM,,CLOSED.SERVICE COMPLETE
BURGLARY,HIGHWINDS PROPERTY : GRAND AVENUE BUSINESSES : PATAGONIA-1648 GRAND,12/16/2022,03:22 AM,MAC-22-1350,Public Safety responded to a report of burglary at a High Winds property.,12/16/2022 03:22 AM and 12/16/2022 03:48 AM,,CLOSED.REFERRED TO LE
MOTOR VEHICLE CRASH,ROADWAY,12/15/2022,09:30 AM,MAC-22-1346,Public Safety responded to a property damage accident on the 160 block of Macalester Street.,12/15/2022 09:35 AM and 12/15/2022 10:15 AM,,CLOSED
SEXUAL ASSAULT : RAPE,OFF CAMPUS (NON-CLERY),12/14/2022,10:07 PM,MAC-22-1345,Macalester College Public Safety received report of student victim to sexual assault. Student transported to the hospital.,12/14/2022 10:07 PM and 12/15/2022 12:17 AM,,"CLOSED.REFERRED TO TITLE IX 
OFFICE"
THEFT : MOTOR VEHICLE PARTS,ROADWAY : SUMMIT AVENUE,12/13/2022,01:59 PM,MAC-22-1339,Macalester College Public Safety received report of catalytic converter stolen from student vehicle on public roadway.,12/13/2022 03:05 PM and 12/13/2022 03:05 PM,,CLOSED.SUBJECT ADVISED
ASSIST : VEHICLE START,ROADWAY : MACALESTER STREET,12/13/2022,11:25 AM,MAC-22-1338,Public Safety performed a vehicle jump start.,12/13/2022 11:25 AM and 12/13/2022 11:35 AM,,CLOSED.NO FURTHER ACTION
ASSIST : VEHICLE START,MACALESTER CAMPUS : PARKING : WEST 2,12/10/2022,05:00 PM,MAC-22-1333,Macalester College Public Safety assisted college student with vehicle lockout and jumpstart.,12/10/2022 05:00 PM and 12/10/2022 05:30 PM,,CLOSED.SERVICE COMPLETE
ASSIST : VEHICLE LOCKOUT,MACALESTER CAMPUS : PARKING : WEST 2,12/10/2022,05:00 PM,MAC-22-1333,Macalester College Public Safety assisted college student with vehicle lockout and jumpstart.,12/10/2022 05:00 PM and 12/10/2022 05:30 PM,,CLOSED.SERVICE COMPLETE
ASSIST : VEHICLE START,MACALESTER CAMPUS : PARKING,12/9/2022,11:55 AM,MAC-22-1319,Macalester College Public Safety assisted student with jumpstarting vehicle.,12/9/2022 11:55 AM and 12/9/2022 12:05 PM,,CLOSED.NO FURTHER ACTION
ASSIST : VEHICLE START,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : BIGELOW HALL,12/8/2022,03:01 PM,MAC-22-1317,Macalester College Public Safety assisted student by jumpstarting vehicle.,12/8/2022 03:01 PM and 12/8/2022 03:15 PM,,CLOSED.SERVICE COMPLETE
MOTOR VEHICLE CRASH,NON-CAMPUS (CLERY GEOGRAPHY),12/7/2022,08:43 PM,MAC-22-1315,Public Safety observed a vehicle parked at Leonard Center parking lot it appeared to be in a motor vehicle crash.,12/7/2022 08:43 PM and 12/7/2022 08:56 PM,,CLOSED.NO FURTHER ACTION
FIRE : SMOKE,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,12/7/2022,02:54 AM,MAC-22-1311,Public Safety responded to fire. Smoke,12/7/2022 02:54 AM and 12/7/2022 03:30 AM,,CLOSED.REFERRED TO DEPARTMENT
FIRE : SMOKE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : GRAND CAMBRIDGE APARTMENTS,12/6/2022,07:15 PM,MAC-22-1308,Public Safety responded to a smoke-alarm via radio.,12/6/2022 07:15 PM and 12/6/2022 07:30 PM,,CLOSED.SERVICE COMPLETE
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : RUTH STRICKER DAYTON CAMPUS CENTER,11/24/2022,11:50 AM,MAC-22-1267,Public Safety observed new graffiti inside an administrative building.  Submitted Work Order for removal.,11/24/2022 11:50 AM and 11/24/2022 11:50 AM,,CLOSED.REFERRED TO DEPARTMENT
BIAS INCIDENT : RELIGION,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : BIGELOW HALL,11/22/2022,10:48 AM,MAC-22-1283,Public Safety was informed of a bias incident.,UNKNOWN and UNKNOWN,,
