Incident Type,Location,Date Reported,Time Reported,Case #,Notes,Incident Occurred Between,Int. Ref. #,Disposition
THEFT : FROM MOTOR VEHICLE,OFF CAMPUS (NON-CLERY),12/30/2021,10:10 AM,MAC-21-1055,Student called to report their car was stolen they live off campus.  MAC ID was in the car.,12/30/2021 10:10 AM and 12/30/2021 10:15 AM,,CLOSED
THEFT : MOTOR VEHICLE THEFT,OFF CAMPUS (NON-CLERY),12/30/2021,10:10 AM,MAC-21-1055,Student called to report their car was stolen they live off campus.  MAC ID was in the car.,12/30/2021 10:10 AM and 12/30/2021 10:15 AM,,CLOSED
THEFT : FROM BUILDING/STRUCTURE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : 77 MAC,12/15/2021,09:34 AM,MAC-22-0007,Missing item from storage room,11/19/2021 12:00 PM and 12/15/2021 12:00 PM,,CLOSED.NO SUSPECT OR WITNESS
ROBBERY,OFF CAMPUS (NON-CLERY),12/14/2021,05:45 PM,MAC-21-1033,Macalester property taken during robbery off campus,12/14/2021 05:45 PM and 12/15/2021 01:30 PM,,
THEFT : MOTOR VEHICLE PARTS,OFF CAMPUS (NON-CLERY),12/13/2021,03:40 PM,MAC-21-1026,CATALYTIC CONVERTER THEFT OFF CAMPUS,12/6/2021 06:30 AM and 12/8/2021 04:45 AM,,
ASSIST : VEHICLE LOCKOUT,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,12/9/2021,11:50 AM,MAC-21-1019,Macalester College Public Safety assisted college employee with vehicle lockout.,12/9/2021 11:50 AM and 12/9/2021 12:17 PM,,CLOSED.SERVICE COMPLETE
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,12/8/2021,12:25 PM,MAC-21-1015,It was reported to Public Safety that a Bike was taken from the bike racks.,11/22/2021 12:00 PM and 12/2/2021 12:00 PM,,
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,12/4/2021,09:00 AM,MAC-21-1005,Public Safety observed multiple thefts by 2 subjects while reviewing security camera footage.,11/11/2021 12:30 PM and 11/11/2021 12:36 PM,,CLOSED.NO IDENTIFIABLE SUBJECTS
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,12/4/2021,09:00 AM,MAC-21-1005,Public Safety observed multiple thefts by 2 subjects while reviewing security camera footage.,11/11/2021 12:30 PM and 11/11/2021 12:36 PM,,CLOSED.NO IDENTIFIABLE SUBJECTS
LOITERING,MACALESTER CAMPUS : PARKING : LEONARD CENTER,12/2/2021,05:40 AM,MAC-21-0994,Public Safety responded to a suspicious person on campus.,12/2/2021 05:40 AM and 12/2/2021 06:10 AM,,CLOSED.NO FURTHER ACTION
ASSIST : VEHICLE START,MACALESTER CAMPUS : PARKING : LEONARD CENTER,12/1/2021,06:00 PM,MAC-21-0990,Macalester College Public Safety assisted college employee with vehicle jumpstart.,12/1/2021 06:36 PM and 12/1/2021 06:36 PM,,CLOSED.SERVICE COMPLETE
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS,11/29/2021,03:50 PM,MAC-21-0981,Macalester College Public Safety received a bike theft report.,11/29/2021 03:50 PM and 11/29/2021 10:00 PM,,OPEN CASE
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,11/24/2021,02:54 AM,MAC-21-0972,Public Safety observed graffiti on property-Exterior of Turck Hall,11/24/2021 02:54 AM and 11/24/2021 03:00 AM,,CLOSED.REFERRED TO DEPARTMENT
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : JANET WALLACE FINE ARTS CENTER,11/22/2021,09:16 AM,MAC-21-0966,Unauthorized chalk drawings in building,11/22/2021 09:16 AM and 11/22/2021 09:16 AM,,CLOSED.REFERRED TO DEPARTMENT
FIRE : TAMPERING-FIRE SAFETY EQUIPMENT,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,11/17/2021,04:20 AM,MAC-21-0944,Macalester Public Safety responded to a fire extinguisher being tampered with in the Resident hall.,11/17/2021 04:20 AM and 11/17/2021 04:29 AM,,CLOSED.REFERRED TO DEPARTMENT
THEFT,MACALESTER CAMPUS,11/16/2021,04:43 PM,MAC-21-0941,Suspected theft of a green Visa debit card from a Weyerhaeuser office,UNKNOWN and UNKNOWN,,
FRAUD : FINANCIAL TRANSACTION CARD,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : WEYERHAEUSER HALL,11/16/2021,04:30 PM,MAC-21-0942,Macalester College Public Safety received a theft report.,11/16/2021 08:00 AM and 11/16/2021 01:30 PM,,OPEN CASE
THEFT : FROM BUILDING/STRUCTURE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : WEYERHAEUSER HALL,11/16/2021,04:30 PM,MAC-21-0942,Macalester College Public Safety received a theft report.,11/16/2021 08:00 AM and 11/16/2021 01:30 PM,,OPEN CASE
FRAUD,ROADWAY : SUMMIT AVENUE,11/15/2021,10:51 AM,MAC-21-0940,Public Safety took a report of armed robbery of a student off campus grounds that had occurred the previous night.,11/14/2021 11:45 AM and 11/14/2021 11:50 AM,,CLOSED.REFERRED TO LE
ROBBERY : AGGRAVATED,ROADWAY : SUMMIT AVENUE,11/15/2021,10:51 AM,MAC-21-0940,Public Safety took a report of armed robbery of a student off campus grounds that had occurred the previous night.,11/14/2021 11:45 AM and 11/14/2021 11:50 AM,,CLOSED.REFERRED TO LE
INAPPROPRIATE COMMUNICATIONS : ELECTRONIC,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DUPRE HALL,11/14/2021,02:25 PM,MAC-21-0937,Public Safety received a report of inappropriate communications between 2 students.,11/14/2021 02:08 AM and 11/14/2021 02:08 AM,,"CLOSED.REFERRED TO TITLE IX 
OFFICE"
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : GRAND CAMBRIDGE APARTMENTS,11/14/2021,04:41 AM,MAC-21-0936,Public Safety observed graffiti on property.,11/14/2021 04:41 AM and 11/14/2021 04:45 AM,,CLOSED.REFERRED TO DEPARTMENT
BURGLARY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : BRIGGS HOUSE,11/10/2021,09:30 AM,MAC-21-0921,Macalester College Public Safety discovered a lock had been cut from a storage shed at the rear of Briggs House.,11/7/2021 04:51 AM and 11/7/2021 04:53 AM,,CLOSED
ASSIST : VEHICLE START,MACALESTER CAMPUS : PARKING : LEONARD CENTER,11/9/2021,06:27 PM,MAC-21-0924,Macalester College Public Safety jumpstarted an employee's vehicle.,11/9/2021 06:27 PM and 11/9/2021 06:41 PM,,CLOSED.SERVICE COMPLETE
OFFENSIVE ACTION : WRITING/DRAWING,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : BIGELOW HALL,11/8/2021,10:37 AM,MAC-21-0912,Public Safety received a report of an offensive action.,11/8/2021 10:37 AM and 11/8/2021 10:37 AM,,OPEN CASE
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : EXTERIOR SPACES,11/8/2021,08:00 AM,MAC-21-0911,Public Safety was advised of new graffiti on an exterior space adjacent to college property.,11/8/2021 08:00 AM and 11/8/2021 08:00 AM,,CLOSED.REFERRED TO DEPARTMENT
GRAFFITI (NON-CRIMINAL),HIGHWINDS PROPERTY : SCOTSDALE (40 SOUTH SNELLING),11/5/2021,10:16 PM,MAC-21-0901,Macalester College Public Safety submitted work order for graffiti.,11/5/2021 10:18 PM and 11/5/2021 10:18 PM,,CLOSED.REFERRED TO DEPARTMENT
THEFT : MOTOR VEHICLE PARTS,OFF CAMPUS (NON-CLERY),11/4/2021,05:00 PM,MAC-21-0898,Macalester College Public Safety received a crime report from a St Paul resident.,11/4/2021 08:00 AM and 11/4/2021 08:00 AM,,CLOSED.PUBLIC SPACE
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,11/3/2021,04:55 AM,MAC-21-0893,"Public Safety was advised of profanity written on whiteboard, inside Leonard Center all gender restroom.",11/3/2021 04:55 AM and 11/3/2021 05:00 AM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,11/2/2021,09:00 AM,MAC-21-0889,Public Safety observed a bike theft while reviewing security cameras.,10/30/2021 03:25 AM and 10/30/2021 03:25 AM,,CLOSED.NO IDENTIFIABLE SUBJECTS
BIAS/HATE : INCIDENT : RACE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DOTY HALL,10/30/2021,02:59 PM,MAC-21-0880,Derogatory comment written on hallway bulletin board,10/30/2021 01:00 AM and 10/30/2021 01:00 AM,,CLOSED.NO IDENTIFIABLE SUBJECTS
THEFT : MOTOR VEHICLE PARTS,MACALESTER CAMPUS : PARKING : LEONARD CENTER,10/27/2021,09:10 PM,MAC-21-0869,Public Safety received a report of stolen vehicle parts.,10/27/2021 09:00 AM and 10/27/2021 07:15 PM,,CLOSED.SERVICE COMPLETE
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : JANET WALLACE FINE ARTS CENTER,10/25/2021,09:00 AM,MAC-21-0862,Public Safety responded to a report of vandalism in an academic building.,10/22/2021 09:00 AM and 10/25/2021 09:00 AM,,CLOSED.NO FURTHER ACTION
BIAS/HATE : INCIDENT : RACE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,10/20/2021,03:04 PM,MAC-21-0855,A student reported finding racist language on a chalkboard in a library study room,10/19/2021 12:00 AM and 10/19/2021 12:00 AM,,CLOSED.NO IDENTIFIABLE SUBJECTS
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : EXTERIOR SPACES,10/18/2021,08:00 AM,MAC-21-0846,Public Safety observed graffiti on an exterior bench top.  Wrote Work Order for removal.,10/18/2021 08:00 AM and 10/18/2021 08:00 AM,,CLOSED.REFERRED TO DEPARTMENT
THEFT : FROM MOTOR VEHICLE,OFF CAMPUS (NON-CLERY),10/15/2021,11:26 AM,MAC-21-0836,Theft of College laptop out of state.,10/12/2021 07:00 PM and 10/12/2021 10:46 PM,,CLOSED.REFERRED TO LE
ASSIST : VEHICLE START,MACALESTER CAMPUS : PARKING : WEST 2,10/14/2021,04:00 PM,MAC-21-0834,Macalester College Public Safety officer assisted student with jump starting vehicle.,10/14/2021 04:00 PM and 10/14/2021 04:15 PM,,CLOSED.SERVICE COMPLETE
THEFT : BICYCLE : PARTS,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,10/13/2021,04:00 PM,MAC-21-0831,Public Safety responded to a theft report.,10/10/2021 08:33 PM and 10/10/2021 08:40 PM,,CLOSED.SERVICE COMPLETE
HARASSMENT,NON-CAMPUS (CLERY GEOGRAPHY),10/13/2021,03:00 PM,MAC-21-0830,A Student discussed with Public Safety possible options regarding an individual who keeps contacting them,10/13/2021 03:00 PM and 10/13/2021 03:45 PM,,
FRAUD : FINANCIAL TRANSACTION CARD,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : KAGIN COMMONS,10/12/2021,12:20 PM,MAC-21-0823,Public Safety received a report of Theft From Structure from a staff member.,10/11/2021 01:00 PM and 10/11/2021 01:50 PM,,CLOSED.REFERRED TO LE
THEFT : FROM BUILDING/STRUCTURE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : KAGIN COMMONS,10/12/2021,12:20 PM,MAC-21-0823,Public Safety received a report of Theft From Structure from a staff member.,10/11/2021 01:00 PM and 10/11/2021 01:50 PM,,CLOSED.REFERRED TO LE
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,10/10/2021,06:00 PM,MAC-21-0815,Student reported to Public Safety a Missing Bike.,10/7/2021 06:00 PM and 10/8/2021 11:00 PM,,CLOSED.SERVICE COMPLETE
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,10/8/2021,06:14 AM,MAC-21-0812,Public Safety observed graffiti on campus.,10/8/2021 06:14 AM and 10/8/2021 06:27 AM,,CLOSED.REFERRED TO DEPARTMENT
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,10/8/2021,03:18 AM,MAC-21-0811,Public Safety responded to attempt bike theft.,10/8/2021 03:18 AM and 10/8/2021 03:21 AM,,CLOSED.NO FURTHER ACTION
THEFT : FROM MOTOR VEHICLE,MACALESTER CAMPUS : PARKING : VISITOR 2,10/7/2021,08:35 PM,MAC-21-0808,Public Safety responded to a report of a theft from vehicle.,10/7/2021 06:30 PM and 10/7/2021 08:30 PM,,CLOSED.SERVICE COMPLETE
ASSIST : VEHICLE START,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : 77 MAC,10/6/2021,01:30 PM,MAC-21-0807,Jump start vehicle for campus visitor,10/6/2021 01:30 PM and 10/6/2021 01:45 PM,,
MOTOR VEHICLE CRASH,MACALESTER CAMPUS : PARKING : WEST 2,10/5/2021,02:10 PM,MAC-21-0800,Hit and Run in West 2 Parking lot,10/5/2021 01:07 PM and 10/5/2021 01:07 PM,,CLOSED.NO SUSPECT OR WITNESS
